,city,date,venue,team1,team2,winner,address,location
95,Mumbai,5/14/2008,Wankhede Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
96,Chandigarh,5/28/2008,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
97,Delhi,5/15/2008,Feroz Shah Kotla,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
98,Mumbai,5/16/2008,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
99,Delhi,5/17/2008,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
100,Jaipur,5/17/2008,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
101,Hyderabad,5/18/2008,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
102,Kolkata,5/18/2008,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
103,Bangalore,5/19/2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
104,Kolkata,5/20/2008,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
105,Mumbai,5/21/2008,Wankhede Stadium,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
106,Chennai,5/21/2008,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
107,Chandigarh,5/23/2008,"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
108,Delhi,5/24/2008,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
109,Chennai,5/24/2008,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
110,Bangalore,5/3/2008,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
111,Kolkata,5/25/2008,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
112,Jaipur,5/26/2008,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
113,Hyderabad,5/27/2008,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Chennai Super Kings,Chennai Super Kings,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
114,Mumbai,5/30/2008,Wankhede Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
115,Mumbai,5/31/2008,Wankhede Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
116,Mumbai,6/1/2008,Dr DY Patil Sports Academy,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
117,Cape Town,4/18/2009,Newlands,Mumbai Indians,Chennai Super Kings,Mumbai Indians,"Newlands, Glasgow, Glasgow City, Scotland, G43 2QJ, United Kingdom","(55.8171461, -4.2804376)"
118,Cape Town,4/18/2009,Newlands,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,"Newlands, Glasgow, Glasgow City, Scotland, G43 2QJ, United Kingdom","(55.8171461, -4.2804376)"
119,Cape Town,4/19/2009,Newlands,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,"Newlands, Glasgow, Glasgow City, Scotland, G43 2QJ, United Kingdom","(55.8171461, -4.2804376)"
120,Cape Town,4/19/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,"Newlands, Glasgow, Glasgow City, Scotland, G43 2QJ, United Kingdom","(55.8171461, -4.2804376)"
121,Port Elizabeth,4/20/2009,St George's Park,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,"Saint George's Park, Nelson Mandela Bay Ward 3, Port Elizabeth, Nelson Mandela Bay Metropolitan Municipality, Eastern Cape, South Africa","(-33.965769550000005, 25.60733242183312)"
122,Durban,4/21/2009,Kingsmead,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
123,Cape Town,4/22/2009,Newlands,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,"Newlands, Glasgow, Glasgow City, Scotland, G43 2QJ, United Kingdom","(55.8171461, -4.2804376)"
124,Durban,4/23/2009,Kingsmead,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
125,Cape Town,4/23/2009,Newlands,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,"Newlands, Glasgow, Glasgow City, Scotland, G43 2QJ, United Kingdom","(55.8171461, -4.2804376)"
126,Durban,4/24/2009,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
127,Durban,4/25/2009,Kingsmead,Deccan Chargers,Mumbai Indians,Deccan Chargers,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
128,Port Elizabeth,4/26/2009,St George's Park,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,"Saint George's Park, Nelson Mandela Bay Ward 3, Port Elizabeth, Nelson Mandela Bay Metropolitan Municipality, Eastern Cape, South Africa","(-33.965769550000005, 25.60733242183312)"
129,Cape Town,4/26/2009,Newlands,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,"Newlands, Glasgow, Glasgow City, Scotland, G43 2QJ, United Kingdom","(55.8171461, -4.2804376)"
130,Durban,4/27/2009,Kingsmead,Chennai Super Kings,Deccan Chargers,Deccan Chargers,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
131,Port Elizabeth,4/27/2009,St George's Park,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,"Saint George's Park, Nelson Mandela Bay Ward 3, Port Elizabeth, Nelson Mandela Bay Metropolitan Municipality, Eastern Cape, South Africa","(-33.965769550000005, 25.60733242183312)"
132,Centurion,4/28/2009,SuperSport Park,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
133,Durban,4/29/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
134,Durban,4/29/2009,Kingsmead,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
135,Centurion,4/30/2009,SuperSport Park,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
136,Centurion,4/30/2009,SuperSport Park,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
137,East London,5/1/2009,Buffalo Park,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,"Buffalo Park, Buffalo Park Drive, Quigney, Buffalo City Ward 47, East London, Buffalo City Metropolitan Municipality, Eastern Cape, 5201, South Africa","(-33.006837149999996, 27.91952640427005)"
138,Durban,5/1/2009,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
139,Port Elizabeth,5/2/2009,St George's Park,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,"Saint George's Park, Nelson Mandela Bay Ward 3, Port Elizabeth, Nelson Mandela Bay Metropolitan Municipality, Eastern Cape, South Africa","(-33.965769550000005, 25.60733242183312)"
140,Johannesburg,5/2/2009,New Wanderers Stadium,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,"McDonald Jones Stadium, Turton Road, New Lambton, Newcastle, Newcastle-Maitland, Newcastle City Council, New South Wales, 2305, Australia","(-32.91882375, 151.72649568715264)"
141,Port Elizabeth,5/3/2009,St George's Park,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,"Saint George's Park, Nelson Mandela Bay Ward 3, Port Elizabeth, Nelson Mandela Bay Metropolitan Municipality, Eastern Cape, South Africa","(-33.965769550000005, 25.60733242183312)"
142,Johannesburg,5/3/2009,New Wanderers Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,"McDonald Jones Stadium, Turton Road, New Lambton, Newcastle, Newcastle-Maitland, Newcastle City Council, New South Wales, 2305, Australia","(-32.91882375, 151.72649568715264)"
143,East London,5/4/2009,Buffalo Park,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,"Buffalo Park, Buffalo Park Drive, Quigney, Buffalo City Ward 47, East London, Buffalo City Metropolitan Municipality, Eastern Cape, 5201, South Africa","(-33.006837149999996, 27.91952640427005)"
144,Durban,5/5/2009,Kingsmead,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
145,Durban,5/5/2009,Kingsmead,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
146,Centurion,5/6/2009,SuperSport Park,Deccan Chargers,Mumbai Indians,Deccan Chargers,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
147,Centurion,5/7/2009,SuperSport Park,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
148,Centurion,5/7/2009,SuperSport Park,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
149,East London,5/8/2009,Buffalo Park,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,"Buffalo Park, Buffalo Park Drive, Quigney, Buffalo City Ward 47, East London, Buffalo City Metropolitan Municipality, Eastern Cape, 5201, South Africa","(-33.006837149999996, 27.91952640427005)"
150,Kimberley,5/9/2009,De Beers Diamond Oval,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,"De Beers Diamond Oval, Hirschhorn, Cassandra, Sol Plaatje Ward 21, Kimberley, Sol Plaatje Local Municipality, Frances Baard District Municipality, Northern Cape, 3801, South Africa","(-28.74264205, 24.796774571818183)"
151,Kimberley,5/9/2009,De Beers Diamond Oval,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,"De Beers Diamond Oval, Hirschhorn, Cassandra, Sol Plaatje Ward 21, Kimberley, Sol Plaatje Local Municipality, Frances Baard District Municipality, Northern Cape, 3801, South Africa","(-28.74264205, 24.796774571818183)"
152,Port Elizabeth,5/10/2009,St George's Park,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,"Saint George's Park, Nelson Mandela Bay Ward 3, Port Elizabeth, Nelson Mandela Bay Metropolitan Municipality, Eastern Cape, South Africa","(-33.965769550000005, 25.60733242183312)"
153,Johannesburg,5/10/2009,New Wanderers Stadium,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,"McDonald Jones Stadium, Turton Road, New Lambton, Newcastle, Newcastle-Maitland, Newcastle City Council, New South Wales, 2305, Australia","(-32.91882375, 151.72649568715264)"
154,Kimberley,5/11/2009,De Beers Diamond Oval,Deccan Chargers,Rajasthan Royals,Deccan Chargers,"De Beers Diamond Oval, Hirschhorn, Cassandra, Sol Plaatje Ward 21, Kimberley, Sol Plaatje Local Municipality, Frances Baard District Municipality, Northern Cape, 3801, South Africa","(-28.74264205, 24.796774571818183)"
155,Centurion,5/12/2009,SuperSport Park,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
156,Centurion,5/12/2009,SuperSport Park,Kings XI Punjab,Mumbai Indians,Mumbai Indians,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
157,Durban,5/13/2009,Kingsmead,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
158,Durban,5/14/2009,Kingsmead,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
159,Durban,5/14/2009,Kingsmead,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
160,Bloemfontein,5/15/2009,OUTsurance Oval,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
161,Port Elizabeth,5/16/2009,St George's Park,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,"Saint George's Park, Nelson Mandela Bay Ward 3, Port Elizabeth, Nelson Mandela Bay Metropolitan Municipality, Eastern Cape, South Africa","(-33.965769550000005, 25.60733242183312)"
162,Johannesburg,5/16/2009,New Wanderers Stadium,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,"McDonald Jones Stadium, Turton Road, New Lambton, Newcastle, Newcastle-Maitland, Newcastle City Council, New South Wales, 2305, Australia","(-32.91882375, 151.72649568715264)"
163,Johannesburg,5/17/2009,New Wanderers Stadium,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,"McDonald Jones Stadium, Turton Road, New Lambton, Newcastle, Newcastle-Maitland, Newcastle City Council, New South Wales, 2305, Australia","(-32.91882375, 151.72649568715264)"
164,Bloemfontein,5/17/2009,OUTsurance Oval,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
165,Centurion,5/18/2009,SuperSport Park,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
166,Johannesburg,5/19/2009,New Wanderers Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,"McDonald Jones Stadium, Turton Road, New Lambton, Newcastle, Newcastle-Maitland, Newcastle City Council, New South Wales, 2305, Australia","(-32.91882375, 151.72649568715264)"
167,Durban,5/20/2009,Kingsmead,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
168,Durban,5/20/2009,Kingsmead,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,"Kingsmead, Bath, Bath and North East Somerset, South West England, England, BA1 1XB, United Kingdom","(51.3800067, -2.3651236)"
169,Centurion,5/21/2009,SuperSport Park,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
170,Centurion,5/21/2009,SuperSport Park,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
171,Centurion,5/22/2009,SuperSport Park,Delhi Daredevils,Deccan Chargers,Deccan Chargers,"Supersport Park, West Avenue, Doringkloof, Tshwane Ward 65, Irene, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa","(-25.85962375, 28.195644468871414)"
172,Johannesburg,5/23/2009,New Wanderers Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,"McDonald Jones Stadium, Turton Road, New Lambton, Newcastle, Newcastle-Maitland, Newcastle City Council, New South Wales, 2305, Australia","(-32.91882375, 151.72649568715264)"
