,city,date,venue,team1,team2,winner,address,location
313,Jaipur,4/8/2012,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
314,Pune,4/8/2012,Subrata Roy Sahara Stadium,Pune Warriors,Kings XI Punjab,Pune Warriors,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
315,Visakhapatnam,4/9/2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,Mumbai Indians,Mumbai Indians,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
316,Bangalore,4/10/2012,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
317,Delhi,4/10/2012,Feroz Shah Kotla,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
318,Mumbai,4/11/2012,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
319,Chennai,4/12/2012,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
320,Chandigarh,4/12/2012,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Kings XI Punjab,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
321,Kolkata,4/13/2012,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
322,Delhi,4/19/2012,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
323,Pune,4/14/2012,Subrata Roy Sahara Stadium,Chennai Super Kings,Pune Warriors,Pune Warriors,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
324,Kolkata,4/15/2012,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
325,Bangalore,4/15/2012,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
326,Mumbai,4/16/2012,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
327,Jaipur,4/17/2012,Sawai Mansingh Stadium,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
328,Bangalore,4/17/2012,M Chinnaswamy Stadium,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
329,Chandigarh,4/18/2012,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
330,Hyderabad,5/10/2012,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
331,Chennai,4/19/2012,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Pune Warriors,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
332,Chandigarh,4/20/2012,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
333,Chennai,4/21/2012,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
334,Delhi,4/21/2012,Feroz Shah Kotla,Pune Warriors,Delhi Daredevils,Pune Warriors,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
335,Mumbai,4/22/2012,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
336,Cuttack,4/22/2012,Barabati Stadium,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,"Barabati Stadium, Ring Road, Barabati Killa, Cuttack, Cuttack (M.Corp.) P.S, Cuttack, Odisha, 753001, India","(20.48070435, 85.86852541310051)"
337,Jaipur,4/23/2012,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
338,Pune,4/24/2012,Subrata Roy Sahara Stadium,Pune Warriors,Delhi Daredevils,Delhi Daredevils,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
339,Chandigarh,4/25/2012,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
340,Pune,4/26/2012,Subrata Roy Sahara Stadium,Deccan Chargers,Pune Warriors,Deccan Chargers,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
341,Delhi,4/27/2012,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
